DistrictName,SubCountyName
KAMULI,NAMWENDWA
KAMULI,KAMULI TOWN COUNCIL
KAMULI,MBULAMUTI
KAMULI,BUGULUMBYA
KAMULI,NAMASAGALI
KAMULI,NABWIGULU
KAMULI,KISOZI
KAMULI,BALAWOLI
KAMULI,WANKOLE
KAMULI,BUTANSI
KAMULI,KITAYUNJWA
KAMULI,BULOPA
KAMULI,NAWANYAGO
KOBOKO,DRANYA
KOBOKO,LUDARA
KOBOKO,ABUKU
KOBOKO,KOBOKO TOWN COUNCIL
KOBOKO,KULUBA
KOBOKO,LOBULE
KOLE,AYER
KOLE,AKALO
KOLE,OKWERODOT
KOLE,ALITO
KOLE,KOLE TOWN COUNCIL
KOLE,ABOKE
MASAKA,BUKAKATA
MASAKA,BUWUNGA
MASAKA,KABONERA
MASAKA,KYANNAMUKAAKA
MASAKA,MUKUNGWE
MASAKA,KATWE/BUTEGO
MASAKA,KIMAANYA/KYABAKUZA
MASAKA,NYENDO/SSENYANGE
MASINDI,BUDONDO
MASINDI,PAKANYI
MASINDI,CENTRAL DIVISION
MASINDI,KIGULYA DIVISION
MASINDI,NYANGAHYA DIVISION
MASINDI,BWIJANGA
MASINDI,KIMENGO
MASINDI,MIIRYA
MASINDI,KARUJUBU DIVISION
MAYUGE,BAITAMBOGWE
MAYUGE,BUKABOOLI
MAYUGE,BUKATUBE
MAYUGE,BUSAKIRA
MAYUGE,IMANYIRO
MAYUGE,JAGUZI
MAYUGE,KIGANDALO
MAYUGE,KITYERERA
