DistrictName,SubCountyName
KALANGALA,BUJUMBA
KALANGALA,KALANGALA TC
KALANGALA,MUGOYE
KALANGALA,BUBEKE
KALANGALA,BUFUMIRA
KALANGALA,KYAMUSWA
KALANGALA,MAZINGA
KAMPALA,CENTRAL DIVISION
KAMPALA,NAKAWA DIVISION
KAMPALA,KAWEMPE DIVISION
KAMPALA,LUBAGA DIVISION
KAMPALA,MAKINDYE DIVISION
KAMPALA,LUBAGA DIVISION
KAMPALA,NAKAWA DIVISION
KAMPALA,MAKINDYE DIVISION
KAMPALA,NAKAWA DIVISION
KAMPALA,CENTRAL DIVISION
KAMPALA,KAWEMPE DIVISION
KAMPALA,LUBAGA DIVISION
KIBOGA,KIBIGA
KIBOGA,KIBOGA TOWN COUNCIL
KIBOGA,LWAMATA
KIBOGA,MUWANGA
KIBOGA,BUKOMERO
KIBOGA,BUKOMERO TC
KIBOGA,DDWANIRO
KIBOGA,KAPEKE
KIBOGA,KIBIGA
LUWERO,KATIKAMU
LUWERO,LUWEERO TOWN COUNCIL
LUWERO,LUWERO
LUWERO,MAKULUBITA
LUWERO,NYIMBWA
LUWERO,WOBULENZI TOWN COUNCIL
LUWERO,BAMUNANIKA
LUWERO,KALAGALA
LUWERO,KAMIRA
LUWERO,KIKYUSA
LUWERO,ZIROBWE
LUWERO,BOMBO TOWN COUNCIL
LUWERO,BUTUNTUMULA
LUWERO,KATIKAMU
MASAKA,MUKUNGWE
MASAKA,KATWE/BUTEGO
MASAKA,KIMAANYA/KYABAKUZA
MASAKA,NYENDO-SSENYANGE
MASAKA,BUKAKATA
MASAKA,BUWUNGA
MASAKA,KABONERA
MASAKA,KYANNAMUKAAKA
MASAKA,KYESIIGA
MASAKA,MUKUNGWE
MPIGI,BUWAMA
MPIGI,KAMMENGO
MPIGI,KIRINGENTE
MPIGI,KITUNTU
MPIGI,MPIGI TOWN COUNCIL
MPIGI,MUDUUMA
MPIGI,NKOZI
MUBENDE,BUTOLOOGO
MUBENDE,KITENGA
MUBENDE,KIYUNI
MUBENDE,MADUDU
MUBENDE,MUBENDE TC
MUBENDE,BAGEZZA
MUBENDE,KASAMBYA
MUBENDE,KIBALINGA
MUBENDE,KIGANDO
MUBENDE,NABINGOOLA
MUBENDE,BUKUYA
MUBENDE,KITUMBI
MUBENDE,MAKOKOTO
MUBENDE,MANYOGASEKA
MUBENDE,MYANZI
MUBENDE,NALUTUNTU
